compound_id,compound_name,area,sub_area,category,developer,status_2025,delivery_notes,source_hint,last_verified_date,lat,lng
crescent-walk,Crescent Walk,New Cairo,6th Settlement,Other,Marakez,Under Construction,Newer residential development in 6th Settlement; phased delivery.,property_hub,2025-12-28,,
al-rehab,Al Rehab,New Cairo,Al Rehab,Integrated Mini-Cities,Talaat Moustafa Group (TMG),Ready to Move,Established integrated city; delivered.,mixed,2025-12-28,,
north-investors-district,Northern Investors District,New Cairo,Districts,District/Neighborhood,,Ready to Move,District; not a single-developer compound.,property_hub,2025-12-28,,
south-academy-district,Southern Academy District,New Cairo,Districts,District/Neighborhood,,Ready to Move,District; not a single-developer compound.,property_hub,2025-12-28,,
allelah,Al-Lotus,New Cairo,Fifth Settlement,Other,N/A (district plots),Ready to Move,District/land parcels; mixed developers.,mixed,2025-12-28,,
amwaj,Amwaj,New Cairo,Fifth Settlement,Other,Al Ahly Sabbour,Ready to Move,Delivered phases.,mixed,2025-12-28,,
ashgar-darna,Ashgar Darna,New Cairo,Fifth Settlement,Other,IGI Developments,Ready to Move,Delivered compound.,mixed,2025-12-28,,
galleria-moon-valley,Galleria Moon Valley,New Cairo,Fifth Settlement,Other,Arabia Holding,Ready to Move,Delivered residential buildings + services.,mixed,2025-12-28,,
hyde-park-nc,Hyde Park New Cairo,New Cairo,Fifth Settlement,Integrated Mini-Cities,Hyde Park Developments,Ready to Move,Large compound with delivered zones; some ongoing handovers.,mixed,2025-12-28,,
jayd,Jayd,New Cairo,Fifth Settlement,Other,Sabbour / Inertia (varies by branding),Mixed/Phased,Branding varies; delivery depends on sub-project.,mixed,2025-12-28,,
katameya-gardens,Katameya Gardens,New Cairo,Fifth Settlement,Other,New Plan Developments,Ready to Move,Established delivered compound (older).,property_hub,2025-12-28,,
moon-valley,Moon Valley (Arabia Holding),New Cairo,Fifth Settlement,Other,Arabia Holding,Ready to Move,Umbrella name used for Moon Valley 1 & 2; established delivered compounds.,mixed,2025-12-28,,
moon-valley-1,Moon Valley 1,New Cairo,Fifth Settlement,Other,Arabia Holding,Ready to Move,Established delivered phases.,mixed,2025-12-28,,
moon-valley-2,Moon Valley 2,New Cairo,Fifth Settlement,Other,Arabia Holding,Ready to Move,Established delivered phases.,mixed,2025-12-28,,
mountain-view-1,Mountain View 1,New Cairo,Fifth Settlement,Other,Mountain View,Ready to Move,Established delivered phases.,mixed,2025-12-28,,
mountain-view-2,Mountain View 2,New Cairo,Fifth Settlement,Other,Mountain View,Ready to Move,Established delivered phases.,mixed,2025-12-28,,
mountain-view-3,Mountain View 3,New Cairo,Fifth Settlement,Other,Mountain View,Ready to Move,Established delivered phases.,mixed,2025-12-28,,
mountain-view-hyde-park,Mountain View Hyde Park,New Cairo,Fifth Settlement,Other,Mountain View,Ready to Move,Older delivered project branding.,mixed,2025-12-28,,
north-lotus,North Lotus,New Cairo,Fifth Settlement,Other,N/A (district plots),Ready to Move,District/land parcels; mixed developers.,mixed,2025-12-28,,
palm-hills-katameya-2,Palm Hills Katameya 2,New Cairo,Fifth Settlement,Other,Palm Hills Developments,Mixed/Phased,Phased handovers; inventory-dependent.,mixed,2025-12-28,,
porto-new-cairo,Porto New Cairo,New Cairo,Fifth Settlement,Other,Amer Group,Ready to Move,Delivered blocks; resale market.,mixed,2025-12-28,,
south-lotus,South Lotus,New Cairo,Fifth Settlement,Other,N/A (district plots),Ready to Move,District/land parcels; mixed developers.,mixed,2025-12-28,,
stone-residence,Stone Residence,New Cairo,Fifth Settlement,Other,PRE Developments / Roaya Group,Ready to Move,Delivered compound; active resale.,mixed,2025-12-28,,
the-square-sabbour,The Square,New Cairo,Fifth Settlement,Other,Al Ahly Sabbour,Ready to Move,Delivered phases.,mixed,2025-12-28,,
the-village-gate,The Village Gate,New Cairo,Fifth Settlement,Other,Palm Hills Developments,Ready to Move,Delivered apartment compound; resale market active.,property_hub,2025-12-28,,
village-garden-katameya,Village Garden Katameya,New Cairo,Fifth Settlement,Other,Palm Hills Developments,Ready to Move,Delivered residential compound; resale market active.,property_hub,2025-12-28,,
west-golf,West Golf,New Cairo,Fifth Settlement,Other,,Ready to Move,Residential district name used in listings; mixed/various developers.,property_hub,2025-12-28,,
